,movie,scaled_votes,scaled_weighted_mu,euclidean_distance
0,Iron Man,1.0,1.0,0.0
1,To Kill A Mockingbird,1.0,0.88,0.12
2,Spider-Man 2,1.0,0.8,0.19999999999999996
3,West Side Story,0.88,0.73,0.29546573405388316
4,Good Bad and Ugly,0.71,0.91,0.3036445290137796
5,Tron,1.0,0.63,0.37
6,Mission Impossible,0.71,0.77,0.37013511046643494
7,Monster Squad,1.0,0.6,0.4
8,Last Holiday,0.94,0.6,0.40447496832313373
9,Vegas Vacation,0.94,0.6,0.40447496832313373
10,Lord of the Rings: The Two Towers,0.59,1.0,0.41000000000000003
11,Glory Road,0.88,0.6,0.417612260356422
12,Dracula,1.0,0.54,0.45999999999999996
13,Ocean's Eleven,1.0,0.52,0.48
14,War Games,1.0,0.51,0.49
15,Die Hard,1.0,0.49,0.51
16,The Devil Wears Prada,1.0,0.49,0.51
17,Paper Planes,1.0,0.48,0.52
18,Just Friends,0.59,0.67,0.5263078946776307
19,Saving Private Ryan,1.0,0.47,0.53
20,Hancock,0.59,0.63,0.552268050859363
21,Hocus Pocus,0.47,0.84,0.5536244214266564
22,Harry Potter and the Goblet of Fire,0.41,1.0,0.5900000000000001
23,The Notebook,0.82,0.43,0.5977457653551383
24,Blair Witch,0.59,0.56,0.6014149981501958
25,Top Gun,0.82,0.4,0.626418390534633
26,Willys Wonderland,0.76,0.41,0.6369458375717673
27,The Scorpian King,0.82,0.31,0.7130918594402827
28,The Goonies,0.47,0.52,0.7150524456289903
29,Rush Hour,0.47,0.52,0.7150524456289903
30,3 Ninjas,0.53,0.44,0.7310950690573695
31,The Eternals,0.41,0.56,0.736002717386288
32,Hackers,0.35,0.63,0.7479304780526062
33,Mary Poppins,1.0,0.2,0.8
34,American Graffiti,0.47,0.39,0.8080841540334769
35,Spare Parts,0.18,0.84,0.835463942968217
36,Nosferatu,0.29,0.4,0.929569792968769
37,GrownUps,0.53,0.18,0.9451454914456293
38,Sound of Music,1.0,0.0,1.0
39,Nightmare Before Christmas,0.0,0.0,1.4142135623730951
